"IDADE","LABEL","QUATINDADE"
"34","Total","296"
"42","Total","299"
"51","Total","224"
"30","Total","263"
"22","Total","209"
"54","Total","233"
"57","Total","242"
"25","Total","241"
"1","Total","196"
"43","Total","280"
"83","Total","48"
"87","Total","24"
"78","Total","70"
"91","Total","8"
"47","Total","263"
"44","Total","272"
"6","Total","103"
"28","Total","245"
"29","Total","207"
"59","Total","209"
"13","Total","79"
"76","Total","83"
"77","Total","62"
"11","Total","69"
"14","Total","118"
"26","Total","215"
"20","Total","233"
"21","Total","176"
"31","Total","238"
"66","Total","146"
"70","Total","105"
"2","Total","149"
"72","Total","96"
"88","Total","22"
"84","Total","25"
"86","Total","19"
"90","Total","12"
"95","Total","2"
"24","Total","265"
"4","Total","118"
"53","Total","244"
"46","Total","224"
"32","Total","257"
"68","Total","134"
"85","Total","34"
"5","Total","107"
"81","Total","49"
"94","Total","4"
"102","Total","1"
"96","Total","2"
"35","Total","312"
"69","Total","104"
"23","Total","241"
"37","Total","265"
"48","Total","227"
"61","Total","176"
"55","Total","214"
"38","Total","281"
"8","Total","99"
"74","Total","80"
"75","Total","79"
"17","Total","157"
"63","Total","161"
"33","Total","258"
"40","Total","272"
"45","Total","260"
"56","Total","249"
"52","Total","237"
"41","Total","266"
"50","Total","252"
"71","Total","96"
"80","Total","59"
"93","Total","6"
"99","Total","2"
"36","Total","282"
"49","Total","260"
"58","Total","209"
"27","Total","222"
"18","Total","176"
"3","Total","123"
"64","Total","161"
"7","Total","90"
"89","Total","10"
"97","Total","2"
"19","Total","200"
"39","Total","294"
"60","Total","193"
"12","Total","105"
"67","Total","135"
"9","Total","94"
"73","Total","102"
"82","Total","41"
"65","Total","160"
"79","Total","63"
"10","Total","97"
"0","Total","139"
"62","Total","166"
"16","Total","144"
"15","Total","131"
"92","Total","6"
"98","Total","2"
"34","Cabeça","192"
"42","Cabeça","189"
"22","Cabeça","120"
"57","Cabeça","128"
"25","Cabeça","151"
"51","Cabeça","138"
"30","Cabeça","155"
"43","Cabeça","164"
"54","Cabeça","116"
"83","Cabeça","26"
